Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Ponds At Willow Grov,2012,4,411050,410775,33.5,60.5,1,1
Ponds At Willow Grov,2013,4,339500,344750,273.5,269.25,0.93907581,0.958723534
Presidential Ct,2010,3,120000,137000,71,76.66666667,0.909090909,0.938232995
Presidential Ct,2011,1,122000,122000,250,250,0.645502646,0.993080993
Presidential Ct,2013,3,137500,129166.6667,93,102.6666667,0.955455132,0.982844889
Presidents Way,2010,1,189000,189000,30,30,0.997361478,0.997361478
Presidents Way,2012,1,168000,168000,102,102,0.93385214,0.96
Providence Crossing,2010,7,260850,278012.8571,85,101.5714286,1,1
Providence Crossing,2011,11,240000,253958.1818,68,182.6363636,0.965235174,0.966542751
Providence Crossing,2012,19,229880,239580.4737,127,159,1,1
Providence Crossing,2013,15,233000,234497.8,120,126.0666667,1,1
Providence Hills,2010,2,337613,337613,546,546,0.928673494,0.95
Providence Hills,2011,1,330000,330000,120,120,1.047619048,1.015384615
Providence Hills,2012,2,300000,300000,314.5,314.5,0.915617716,0.923076923
Quail Landing,2010,3,260000,271600,296,427.3333333,0.951597289,1
Quail Landing,2011,1,254900,254900,312,312,0.944423861,1
Quail Landing,2012,6,268500,264050,29,96.5,1,1
Quail Landing,2013,4,264900,260650,161,264,1,1
Quails Nest,2010,3,285000,294833.3333,122,126.6666667,0.863898151,0.950316772
Quails Nest,2011,4,290000,293750,154.5,202.25,0.939958592,0.992831541
Quails Nest,2012,2,273000,273000,12.5,12.5,0.942349367,0.942349367
Quails Nest,2013,2,213500,213500,177,177,0.961798942,1.006060606
Randalls Glen,2011,1,183500,183500,282,282,0.966298052,1
Ravenwood,2010,1,205000,205000,69,69,0.837076358,0.976190476
Ravenwood,2012,1,170000,170000,15,15,1.0625,1.0625
Resrv Chestnut Ridge,2011,1,227000,227000,147,147,1.008888889,1.008888889
Resrv Chestnut Ridge,2012,3,249900,249798,15,43.33333333,0.985846755,0.991977326
Resrv Chestnut Ridge,2013,1,325000,325000,55,55,0.970149254,0.970149254
Retreat,2010,4,307500,307250,413.5,468.25,0.898042118,0.933582533
Retreat,2011,2,206750,206750,3.5,3.5,0.969984202,0.969984202
Retreat,2012,4,190450,184100,229,203,0.896756549,0.964668232
Retreat,2013,5,203000,265500,49,166,0.882872278,0.964932925
Reynard Crossings,2013,2,198000,198000,100,100,0.932392027,0.96097561
Richardson Ests,2010,1,188500,188500,5,5,1.01344086,1.01344086
Richardson Ests,2012,1,178000,178000,76,76,0.962682531,0.989438577
Rising Sun,2013,1,140000,140000,7,7,1,1
Riverside,2010,9,290000,279600,103,112.7777778,0.923665245,1
Riverside,2011,4,256250,257225,60,112.25,0.914115646,0.954815012
Riverside,2012,1,220000,220000,119,119,1,1
Riverside,2013,2,252500,252500,90,90,0.900145507,1.024059076
Riverview Estates,2010,7,260000,272800,91,116,0.937851694,0.971754341
Riverview Estates,2011,6,221000,239833.3333,139,251,0.940033414,0.992307692
Riverview Estates,2012,6,226250,241083.3333,53,176.3333333,0.942440275,0.988637291
Riverview Estates,2013,3,267900,252641.6667,69,125.6666667,0.95185923,1
Robin Hill,2011,1,199500,199500,156,156,1,1
Robin Hill,2012,4,189450,195730,117.5,168,0.972911029,0.972911029
Robin Hill,2013,3,229145,235750.6667,126,208,1.02106087,1.008444249
Rockland Hills,2010,2,347450,347450,175.5,175.5,0.901927763,0.963768116
Rockland Hills,2011,3,341000,353500,35,45,0.97979798,0.97979798
Rockland Hills,2012,3,335000,347077.6667,12,38,1,1.016621333
Rockland Hills,2013,5,350000,363230,49,105.6,0.890125174,0.971420406
Rockland West,2010,1,230000,230000,192,192,0.852483321,0.963149079
Rockland West,2011,3,263000,255166.6667,42,60.66666667,0.97137746,0.97137746
Rockland West,2012,3,212000,229000,16,15.66666667,0.997647059,0.997647059
Rockland West,2013,1,250000,250000,28,28,0.961908426,0.961908426
Rodney Vil,2010,10,99000,103360,159,253.2,0.826763114,0.894773907
Rodney Vil,2011,1,126000,126000,296,296,1.016137227,1.016137227
Rodney Vil,2012,12,94950,89403.33333,99,108.5833333,0.905333333,1
Rodney Vil,2013,15,96500,99180,43,65.93333333,0.93877551,0.975813178
Roesville,2011,1,276000,276000,66,66,0.975265018,0.975265018
Roesville,2012,2,218700,218700,285.5,285.5,0.85588395,0.993996998
Roesville,2013,2,242500,242500,322,322,0.904975161,0.966007624
Rolling Meadows,2010,1,240000,240000,185,185,0.926640927,0.93385214
Rolling Meadows,2011,3,200000,206166.6667,31,57.33333333,1.00050025,1.00050025
Rolling Meadows,2012,3,195000,193333.3333,200,149,0.943888647,0.955882353
Rolling Meadows,2013,3,227500,231500,81,109,0.95,1.011111111
Rosewood,2010,2,194950,194950,79.5,79.5,1,1
Rosewood Farms,2013,3,169900,174933.3333,115,146.6666667,0.964448959,1
Royal Grant,2010,11,190000,185618.1818,155,162.6363636,0.915521628,0.984
Royal Grant,2011,6,187500,183666.6667,53.5,80.16666667,0.977630332,0.997630332
Royal Grant,2012,8,157500,152575,85,171.625,0.811608433,0.947636301
Royal Grant,2013,9,175000,161303.8889,38,79.11111111,0.969984992,0.977653631
Rsrv At Chestnut Rdg,2010,4,267500,274125,208,213.75,0.924401518,0.976623712
Rsrv At Chestnut Rdg,2012,1,340000,340000,194,194,0.947075209,1
Sabarto East,2013,1,187400,187400,29,29,1.041689828,1.041689828
Sandtown,2012,1,275000,275000,6,6,1,1
Sandtown,2013,1,90000,90000,4,4,1,1
Sandy Hill,2011,7,352110,335955.8571,231,180.4285714,1,1
Sandy Hill,2012,13,338521,318957.2308,252,243.4615385,1,1
Sandy Hill,2013,11,336252,341972,184,167.3636364,1,1
Satterfield,2010,3,217500,220166.6667,101,102.6666667,0.888803386,0.949781659
Satterfield,2011,4,238000,221225,68,65.25,0.952482519,0.995857581
Satterfield,2012,1,215560,215560,199,199,1.094768918,1.07833917
Satterfield,2013,4,208822.5,211161.25,181,172.75,0.987804878,1.003469893
Saw Mill Vil,2010,1,185900,185900,158,158,1,1
Saw Mill Vil,2012,2,130600,130600,297.5,297.5,0.808681607,0.900098894
Saw Mill Vil,2013,2,152500,152500,109.5,109.5,1.001919303,1.001919303
Scenic Acres,2013,2,190000,190000,59,59,0.930554654,0.97324625
School House Village,2010,1,210000,210000,28,28,0.976744186,0.976744186
School House Village,2011,1,150000,150000,97,97,0.75,0.968366688
School House Village,2012,2,183000,183000,30.5,30.5,0.946001624,0.965108798
Schoolview,2010,5,175000,161600,183,145.2,0.93206951,0.987654321
Schoolview,2011,2,164950,164950,57,57,0.924962481,1
Schoolview,2013,4,111000,113125,39,44,0.934961122,0.975365162
Seabrook Village,2010,1,150950,150950,38,38,0.962077757,0.962071625
Seabrook Village,2011,1,154000,154000,22,22,1.026666667,1.026666667
Seabrook Village,2012,3,123000,108333.3333,14,47.66666667,0.978571429,0.978571429
Seabrook Village,2013,1,145000,145000,22,22,1.16,1.16
Senators Lake,2013,3,192000,196833.3333,58,62,1.043478261,1.025862069
Seskinore,2010,1,319900,319900,1,1,0.969687784,0.969687784
Shady Lane,2010,2,209000,209000,247.5,247.5,0.90878905,0.952156573
Shady Lane,2012,2,187000,187000,51,51,0.994728839,0.960103706
Shady Lane,2013,2,182000,182000,9,9,0.988372093,0.988372093
Sheffield Farms,2010,1,189750,189750,12,12,0.949224612,0.949224612
Sheffield Farms,2011,3,189900,193566.6667,156,204.3333333,0.920682303,1
Sheffield Farms,2012,10,189500,178375,118,157.9,0.915897233,0.967419607
Sheffield Farms,2013,2,187250,187250,93,93,0.97315065,1.012916456
Sherwood,2010,5,185900,181520,65,164.8,0.927865038,0.94972067
Sherwood,2011,8,154750,155112.5,62.5,87.25,0.948986348,0.965601297
Sherwood,2012,12,142350,145191.6667,119.5,126.25,0.935856386,1
Sherwood,2013,13,159900,164473.0769,64,74.84615385,0.942857143,0.969355847
Silver Lake,2010,1,320000,320000,65,65,0.865098675,0.865098675
Silver Lake,2011,1,175000,175000,11,11,1,1
Silver Lake,2013,1,165000,165000,159,159,0.917176209,0.954308849
Smyrna Landing,2012,2,70500,70500,157,157,0.600080546,0.73402386
Smyrna Parkway Man,2010,3,145000,139666.6667,50,66.66666667,1,1
Smyrna Parkway Man,2011,4,85254.5,82652.25,47.5,73.75,0.907992241,0.957276368
