Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Wind Song Farms,2011,1,335000,335000,31,31,0.930814115,0.957416405
Wind Song Farms,2012,4,269500,271625,150,151.5,0.935866774,0.964386197
Wind Song Farms,2013,3,309000,317833.3333,240,244,0.965926852,0.987535954
Winding Ridge,2010,1,200000,200000,9,9,1,1
Winding Ridge,2011,3,175000,164966.6667,213,163.3333333,1,1
Winding Ridge,2012,2,133450,133450,109,109,0.761452571,0.86677116
Winding Ridge,2013,1,235000,235000,63,63,1,1
Windswept,2010,1,285000,285000,373,373,0.863636364,1
Windswept,2011,2,416700,416700,20,20,0.96964674,0.96964674
Windswept,2012,2,430000,430000,226,226,0.901792997,0.924607288
Windy Way,2012,1,175000,175000,133,133,0.921537651,0.921537651
Wingate,2013,1,125000,125000,42,42,0.985027581,0.985027581
Winmill,2011,2,215000,215000,89,89,0.831031869,0.908185911
Winmill,2012,1,265000,265000,178,178,0.985130112,0.981845128
Wolf Creek,2010,1,454421,454421,51,51,1,1
Wolf Creek,2011,1,460000,460000,4,4,1,1
Wolf Creek,2012,1,470000,470000,637,637,0.94000188,0.94000188
Wolf Creek,2013,3,500000,597666.6667,79,82.33333333,0.854846982,0.952562393
Woodbrook,2010,1,232000,232000,480,480,0.760406424,0.928742994
Woodbrook,2011,4,197250,194875,187.5,277,0.881601308,0.939605466
Woodbrook,2012,1,97000,97000,41,41,0.93358999,0.980788675
Woodbrook,2013,2,213000,213000,104.5,104.5,0.937211329,0.957850538
Woodbury Acres,2010,1,185000,185000,128,128,0.925,0.973684211
Woodbury Acres,2011,1,126250,126250,139,139,0.809813983,0.987099296
Woodbury Acres,2012,2,79812.5,79812.5,41.5,41.5,0.741751023,0.760369286
Woodbury Acres,2013,1,150000,150000,47,47,0.967741935,0.967741935
Woodcrest,2010,2,135750,135750,106,106,0.797164918,0.982205392
Woodcrest,2011,4,156500,154500,76,72.5,0.928571429,0.986111111
Woodcrest,2012,2,117400,117400,9.5,9.5,1,1
Woodcrest,2013,8,143500,140151.25,61,128.625,0.973275408,1
Wooden Bridge,2013,2,190000,190000,22.5,22.5,0.963204054,0.963204054
Woodfield,2010,6,197829,200593,85,145.3333333,0.950932745,0.983620567
Woodfield,2011,11,174000,173063.6364,79,110.8181818,0.967127203,0.967127203
Woodfield,2012,10,155000,168980,30.5,95.3,0.971258059,0.976643684
Woodfield,2013,9,175500,168844.4444,88,126.3333333,0.945,0.975541968
Woodland Beach,2010,2,91875,91875,111.5,111.5,0.581102114,0.790058209
Woodland Beach,2011,2,180000,180000,450.5,450.5,0.782259217,0.813596491
Woodland Beach,2012,2,68750,68750,114.5,114.5,0.563006119,0.746596303
Woodland Beach,2013,1,35000,35000,315,315,0.35,0.443037975
Woodland Manor,2010,12,151500,147382.5,81.5,106.4166667,0.963384075,0.994350282
Woodland Manor,2011,16,117000,127986.3125,68,129.4375,0.942042017,0.996246872
Woodland Manor,2012,11,109900,115909.9091,118,142.0909091,0.900529723,1
Woodland Manor,2013,10,116000,115960,32,118.2,1.00952381,1.01
Woodlands of Foxhall,2010,2,194950,194950,181,181,0.905457132,0.977443496
Woodlands of Foxhall,2012,4,159000,160000,57,64.25,0.955932731,0.982248521
Woodlands of Foxhall,2013,1,159900,159900,53,53,0.914236707,0.941141848
Woodmill,2010,1,119900,119900,45,45,0.959967974,1
Woodmill,2011,4,128500,115225,69.5,69.75,0.878897936,0.996481626
Woodmill,2012,2,119750,119750,32.5,32.5,0.92154619,0.958662285
Woodmill,2013,5,149900,138380,75,148.8,0.938047559,0.967741935
Woods Haven,2010,1,190000,190000,203,203,0.867579909,1
Woods Haven,2012,2,177750,177750,49,49,0.888956353,0.947678571
Woods Haven,2013,3,189900,170966.6667,133,227.3333333,0.942857143,0.942857143
Woods Manor,2010,1,200000,200000,3,3,1.005025126,1.005025126
Woods Manor,2011,1,150000,150000,34,34,0.882352941,0.882352941
Woods Manor,2012,1,74299,74299,165,165,0.990653333,0.990653333
Woods Manor,2013,2,170000,170000,70.5,70.5,0.909787411,0.967060139
Woods Manor East,2010,1,222000,222000,28,28,0.965217391,0.965217391
Woods Manor East,2012,1,219500,219500,279,279,0.847490347,0.954347826
Woods Manor East,2013,1,259900,259900,13,13,1,1
Woods Of Carlisle,2010,3,178900,171300,94,90,0.904761905,0.989761092
Woods Of Carlisle,2011,1,185000,185000,18,18,1,1
Woods Of Carlisle,2012,2,137500,137500,109.5,109.5,0.958333333,0.971428571
Woods Of Carlisle,2013,3,145000,139741.6667,237,205,0.88,0.935483871
Woodside,2011,1,159900,159900,288,288,0.842022117,1
Woodside,2013,1,61500,61500,132,132,0.723529412,0.94761171
Worthington,2010,17,199900,197021.1176,155,249.7647059,0.975597853,1
Worthington,2011,17,182735,180993.5882,250,227.3529412,0.89438577,1
Worthington,2012,9,189072,184438,416,389.5555556,0.906514364,1
Worthington,2013,15,189000,187806,113,226.4666667,0.999473684,1
Wrens Way,2010,1,260000,260000,10,10,1.020007846,1.020007846
Wrens Way,2013,2,234500,234500,271.5,271.5,0.924469061,0.94795274
Wynn Wood,2010,5,192000,189200,213,153.4,0.888888889,0.96
Wynn Wood,2011,8,178750,176125,146,134.75,0.918917718,0.994646589
Wynn Wood,2012,5,163000,170520,259,281.8,0.953488372,0.961651917
Wynn Wood,2013,5,175000,183000,46,65.6,0.954979536,0.972762646
Wynsome Knoll,2011,9,190000,191672,40,40.66666667,1.027582477,1.027582477
Wynsome Knoll,2012,8,190874.5,189867.875,68.5,88.625,1.057063115,1.046610086
Wynsome Knoll,2013,5,186455,189305.6,156,330.6,0.981858873,1.035861111
Wyoming,2010,2,93500,93500,41,41,0.832653141,0.875136801
Wyoming,2011,2,88750,88750,108,108,0.857142857,0.857142857
Wyoming,2012,4,175734,244117,166.5,156.5,0.887812338,0.98975469
Wyoming,2013,2,122000,122000,62.5,62.5,0.866220736,0.92370892
Wyoming Mills,2010,2,145000,145000,186.5,186.5,0.892303992,0.920875421
Wyoming Mills,2011,1,187500,187500,136,136,1,1
Wyoming Mills,2013,1,168651,168651,42,42,1.000005929,1.000005929
